股票代码,股票名称,市场板块,所属级别,形态名称,形态英文,信号方向,出现日期,信号强度,放量倍数,现价,涨跌幅%,近一年涨停次数,多级别共振
003007,直真科技,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,86.6,0.4,33.72,4.92,13,否
300021,大禹节水,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.59,3.84,4.92,0,是
300132,诺斯贝尔,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-10,100,1.28,6.83,4.92,0,是
300580,贝斯特,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,94.6,1.34,21.96,4.92,1,是
600054,黄山旅游,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.73,11.3,4.92,0,是
600096,云天化,上证,周线,启明星,Morning Star,看涨,2026-07-24,94.8,0.65,28.8,4.92,4,否
600475,华光环能,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.88,16,4.92,13,是
000042,中洲控股,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,92,0.71,8.12,4.91,2,否
002593,日上集团,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,84.4,0.87,4.27,4.91,4,否
600153,建发股份,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.15,8.98,4.91,0,否
002287,奇正藏药,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,84.8,1.02,20.98,4.9,0,否
301289,国缆检测,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.75,42.36,4.9,1,是
600839,四川长虹,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.24,7.28,4.9,2,是
600846,同济科技,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.66,11.55,4.9,5,是
603277,银都股份,上证,月线,启明星,Morning Star,看涨,2026-08-14,100,1.18,11.34,4.9,1,是
688339,亿华通,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.54,16.91,4.9,0,是
002153,石基信息,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,2.47,8.79,4.89,7,是
002206,海 利 得,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.71,5.36,4.89,0,是
002718,友邦吊顶,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-12,100,0.92,90.15,4.89,18,是
301312,智立方,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,97,1.66,69.45,4.89,3,是
600805,悦达投资,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.53,4.29,4.89,1,是
